UUID_FAMILY;ORIGGPCD;UUID_CONTENT;LANG;ORIGGPFR
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;6278909B-0BD2-4AB7-9C8C-29D81231132F;fr_FR;Farines et amidons
597E694F-B420-4045-ABCA-6DB91B2A69C8;01.2;ECA6B2CE-73F0-4808-83F7-DE3270FF6EE7;fr_FR;Riz et graines crus
E76D304B-543F-4357-B196-D71067E50878;01.3;10CE4B95-8487-415F-83EA-C082D0968A46;fr_FR;Pâtes et semoules crues
4A6944B0-26AF-4402-9B06-5B1E92A73FE8;01.4;FBDB5450-5AE1-492C-9F21-C25EF0744FA8;fr_FR;Riz et graines cuits
E611F1D1-5E8D-4A78-BEAC-5A1EF5BC02AD;01.5;828A88EA-29F9-4440-B640-A61A7CA39456;fr_FR;Pâtes et semoules cuites
420C94A7-C284-4069-8272-54F0FDEB11EA;02.1;718E5102-7053-4987-89D1-7AAAFED5D63F;fr_FR;Pains
EC72C41B-4A45-4F22-853C-86DEFAFBA4D6;02.2;11C0B1FE-490A-4CFA-9249-44201222665F;fr_FR;Pains spéciaux
EDC34C5C-024E-43A7-98AC-D358486B449A;02.3;93D833AE-9716-4F3E-9E3A-35E79E91CC77;fr_FR;Biscottes et pains grillés
C4142CDC-097B-40F7-92FC-C37F611C8C02;02.4;1F5FEEFE-9351-4F1C-A751-50CC52194AB8;fr_FR;Viennoiseries et brioches
2C783677-EA80-4C5D-A9A0-40A72313A6B3;03.1;F24732A6-45B5-49E9-A054-D096B414DA88;fr_FR;Gâteaux et pâtisseries
9FB0E1C1-5E69-4B18-8D44-9DDABF27F85B;03.2;081E6898-D8A9-4BD0-98BB-920A4C0894DF;fr_FR;Biscuits secs sucrés
4414C4B1-E03D-4F65-AE3C-4B1531BD41F3;03.3;9AA6B997-2AF4-4FF2-8CC6-1DA016287F35;fr_FR;Biscuits salés apéritifs
C60E8A06-30CA-4270-9DBE-04575EF6D1BE;03.4;72C44BDB-041C-43B2-BB38-F1833C98365C;fr_FR;Préparations pour pâtisseries
30561D9F-4239-495A-972E-2F11DCD40C04;03.5;56F6926C-078B-44FD-9000-669BDB78617A;fr_FR;Feuilletés et cakes salés
79A6EF44-A624-485B-B622-EFEF6D6ADFAD;03.6;0E359C4D-D1A6-44AE-B9F7-5E59EA0C6D93;fr_FR;Pâtes à tarte, à pizza, etc.
84C93A03-3295-443D-8E9E-BF7C78A1EA3C;04.1;F38CA9FB-ED1C-44C7-ABBD-2013B4EC8DB2;fr_FR;Barres céréalières
D59BE1B6-FE62-44AC-B777-C8E0225DB4CD;04.2;16202D7B-3122-444A-B5C1-C3AF9A3DA666;fr_FR;Céréales petit déjeuner chocolatées non fourrées
ED0C9F06-E62F-4D50-A157-8202965F38E9;04.3;E1532373-1BB3-469A-9A49-0BA12855D731;fr_FR;Céréales petit déjeuner fourrées
9C512F6A-C23A-4A15-9A7F-CBDBFC9EDE72;04.4;92DB1EA4-FE31-4ABE-ADF8-CADB259D0961;fr_FR;"Céréales petit déjeuner ""équilibre"""
B1D7C758-EB05-4B80-8539-51583356EF76;04.5;1399065E-714F-42FC-B60E-23B7C94096EC;fr_FR;Céréales petit déjeuner riches en fibres
24FEB247-57CF-4B68-A227-084B01DDCB6D;04.6;421C597A-A1B1-412B-A0FD-9097325A4D4E;fr_FR;Mueslis croustillants
F25756C1-7521-472B-8F27-509FA506E21B;04.7;EFA6260E-279F-4264-AC0A-B7FA46094C6A;fr_FR;Mueslis floconneux
805081D3-B8D2-4654-A138-CCAC3FE91BA8;04.8;C25DA86B-59E4-433E-A439-0D749B94EEBF;fr_FR;Céréales petit déjeuner sucrée / miel / caramel
87981B09-1CF0-4F7E-AC50-C1C1D9601C21;04.9;09BA5AC0-6EC8-4A07-AE0A-CF4E3122FA15;fr_FR;Autres céréales pour petit déjeuner
BFC4ABE1-E6D0-436B-912B-68103B66AE8E;5;E6EC6702-4901-4884-86D3-969BED4905D8;fr_FR;Produits laitiers, desserts lactés et assimilés
419E1B08-6CB5-4FB5-B3A4-0FA5C1A93114;05.0;79AE7D56-7401-45A6-A2F4-A1C09DF8817C;fr_FR;Laits de vache liquides (non concentrés)
878D77C9-042C-4230-B050-B9EC05910D96;05.1;BC99E93F-CEA9-43C4-8896-87DB699ED56A;fr_FR;Laits de vache concentrés ou en poudre
7FD1E10D-62EC-4157-BE40-0EA4D1241668;05.3;37DC3B6A-B25D-4161-88A8-054A1A576F16;fr_FR;Crèmes et spécialités à base de crème
B269F640-2B85-43E2-B6ED-879B17A4B3EC;05.4;78ECC259-CF3F-4F32-9B07-53F43C48CC2B;fr_FR;Yaourts et spécialités laitières type yaourts
DBC5C56A-6A33-46B4-9E8D-EBA40AF17CCC;05.5;CD9A5159-86DE-4553-BB0E-EC488738C2E6;fr_FR;Fromages blancs
47E4FE9E-40FE-4CFE-90D5-9C8F9CB1A97A;05.6;CEC0714D-E0D7-45D6-9C8A-5597030B2F51;fr_FR;Laits autres que de vache
580D9951-84D7-444D-BC10-A3B703AB9C32;05.7;71DF7419-C7C7-47C5-BFC9-8BBCA44D9ED1;fr_FR;Desserts lactés frais
CB3466D2-46B5-48AB-B795-7646533F0363;05.8;82E1CDB6-D411-422F-A956-6810A1E406E7;fr_FR;Desserts frais non laitiers
