UUID_FAMILY;ORIGGPCD;ORIGGPFR;UUID_INGREDIENT;ORIGFDCD;UUID_CONTENT;LANG;ORIGFDNM
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;9B2170B4-3805-4337-80EF-96F3E0188331;4090;624E2884-5D45-47EA-A7F4-F18663E18562;fr_FR;Fécule de pomme de terre
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;4330B78F-756D-4FBA-BC80-04C32E12F01D;9311;857E792F-409C-4FB6-996D-0AF9D77524F5;fr_FR;Flocon d'avoine
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;FAA5BCED-6F82-4A24-BEEC-592935E13E17;9410;EF540652-C887-4945-A5B6-A2712550797B;fr_FR;Farine de blé tendre ou froment T110
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;EACA3EAE-7390-4FDA-BB99-389338AF9832;9415;48C9FB69-E8D4-44ED-8AA9-19A4135CCE9C;fr_FR;Farine de blé tendre ou froment T150
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;10E42B54-E9E5-40BB-8094-8D5CB8BF4084;9435;88E4EA09-7069-4B5C-AD9B-9B4A08BF3638;fr_FR;Farine de blé tendre ou froment T65
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;BF095EAD-3C16-452A-ACEF-1BC485FB4F7B;9436;D545730F-953C-4D5E-A1B4-CAE929BBA6EA;fr_FR;Farine de blé tendre ou froment T55 (pour pains)
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;DE0B06D3-E2BE-4C2A-B578-D4916B8EFF61;9437;85DAFAC4-A4DE-4927-AB50-611C3D94FCFC;fr_FR;Farine de blé tendre ou froment avec levure incorporée
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;60CCD25F-63FA-498A-A763-543881B3B18B;9440;B6C597AD-F2EE-4864-9E90-1E1D74A9F6F6;fr_FR;Farine de blé tendre ou froment T45 (pour pâtisserie)
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;262B6B61-941C-414E-BDFE-0CBF9BD9EB11;9445;32A751B4-30BD-4EC2-9D09-26E151A15052;fr_FR;Farine de blé tendre ou froment T80
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;7E04F4DE-747E-4978-A355-AC19F84347C0;9510;10706119-2AEC-4B98-982A-F4AF8F5CDB68;fr_FR;Amidon de maïs ou fécule de maïs
ED5B5569-86EC-4E14-9344-4D89E3DF66F0;01.1;Farines et amidons;4D5CA3F8-D97E-4EA2-A2B9-A256B0F93497;9520;2F8208F0-6854-4D4A-ADC9-18388A122BB1;fr_FR;Farine de riz
